sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ypilon | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.192 | Public IP: 96.21.204.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:34:07 GMT Sat Jun 6 2020 | Duration: 17d 21h:01m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 17004038060 | Bytes Rx: 3669923859 | IP Addr: 10.144.233.192 | Public IP: 96.21.204.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:34:07 GMT Sat Jun 6 2020 | Duration: 17d 21h:01m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 17004038060 | Bytes Rx: 3669923859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 66955 | Audit Session ID: 0a90076b1058b0005edb7f2f | Security Group Tag: none | EasyVPN: 0 |Session ID: 66955 | Audit Session ID: 0a90076b1058b0005edb7f2f | Security Group Tag: none | EasyVPN: 0 ||
Username: srealmut | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.32 | Public IP: 73.226.57.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 02:16:39 GMT Mon Jun 22 2020 | Duration: 2d 6h:18m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 475030839 | Bytes Rx: 195750890 | IP Addr: 10.144.232.32 | Public IP: 73.226.57.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 02:16:39 GMT Mon Jun 22 2020 | Duration: 2d 6h:18m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 475030839 | Bytes Rx: 195750890 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 71839 | Audit Session ID: 0a90076b1189f0005ef01487 | Security Group Tag: none | EasyVPN: 0 |Session ID: 71839 | Audit Session ID: 0a90076b1189f0005ef01487 | Security Group Tag: none | EasyVPN: 0 ||
Username: aseoane | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.223 | Public IP: 77.228.146.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 08:14:22 GMT Mon Jun 22 2020 | Duration: 2d 0h:20m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1926088030 | Bytes Rx: 800027995 | IP Addr: 10.144.230.223 | Public IP: 77.228.146.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 08:14:22 GMT Mon Jun 22 2020 | Duration: 2d 0h:20m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1926088030 | Bytes Rx: 800027995 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 71966 | Audit Session ID: 0a90076b1191e0005ef0685e | Security Group Tag: none | EasyVPN: 0 |Session ID: 71966 | Audit Session ID: 0a90076b1191e0005ef0685e | Security Group Tag: none | EasyVPN: 0 ||
Username: j.remishofski | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.104 | Public IP: 69.126.26.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:23:57 GMT Mon Jun 22 2020 | Duration: 1d 20h:11m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1929298877 | Bytes Rx: 363601957 | IP Addr: 10.144.232.104 | Public IP: 69.126.26.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:23:57 GMT Mon Jun 22 2020 | Duration: 1d 20h:11m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 1929298877 | Bytes Rx: 363601957 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72087 | Audit Session ID: 0a90076b119970005ef0a2dd | Security Group Tag: none | EasyVPN: 0 |Session ID: 72087 | Audit Session ID: 0a90076b119970005ef0a2dd | Security Group Tag: none | EasyVPN: 0 ||
Username: JGeorge | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.110 | Public IP: 71.163.41.90 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:55:04 GMT Mon Jun 22 2020 | Duration: 1d 19h:40m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2222902562 | Bytes Rx: 537324052 | IP Addr: 10.144.232.110 | Public IP: 71.163.41.90 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:55:04 GMT Mon Jun 22 2020 | Duration: 1d 19h:40m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2222902562 | Bytes Rx: 537324052 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72103 | Audit Session ID: 0a90076b119a70005ef0aa28 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72103 | Audit Session ID: 0a90076b119a70005ef0aa28 | Security Group Tag: none | EasyVPN: 0 ||
Username: s.davenport | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.211 | Public IP: 80.231.138.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:01:14 GMT Mon Jun 22 2020 | Duration: 1d 19h:33m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 936374071 | Bytes Rx: 306533013 | IP Addr: 10.144.230.211 | Public IP: 80.231.138.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:01:14 GMT Mon Jun 22 2020 | Duration: 1d 19h:33m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 936374071 | Bytes Rx: 306533013 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72107 | Audit Session ID: 0a90076b119ab0005ef0ab9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 72107 | Audit Session ID: 0a90076b119ab0005ef0ab9a | Security Group Tag: none | EasyVPN: 0 ||
Username: jdennehy | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.75 | Public IP: 71.188.118.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:35:46 GMT Mon Jun 22 2020 | Duration: 1d 18h:59m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1485879700 | Bytes Rx: 285985966 | IP Addr: 10.144.232.75 | Public IP: 71.188.118.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:35:46 GMT Mon Jun 22 2020 | Duration: 1d 18h:59m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1485879700 | Bytes Rx: 285985966 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72133 | Audit Session ID: 0a90076b119c50005ef0b3b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72133 | Audit Session ID: 0a90076b119c50005ef0b3b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: mschneider | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.37 | Public IP: 67.168.104.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 15:01:14 GMT Mon Jun 22 2020 | Duration: 1d 17h:33m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 2547107089 | Bytes Rx: 680106734 | IP Addr: 10.144.232.37 | Public IP: 67.168.104.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 15:01:14 GMT Mon Jun 22 2020 | Duration: 1d 17h:33m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 2547107089 | Bytes Rx: 680106734 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72180 | Audit Session ID: 0a90076b119f40005ef0c7ba | Security Group Tag: none | EasyVPN: 0 |Session ID: 72180 | Audit Session ID: 0a90076b119f40005ef0c7ba | Security Group Tag: none | EasyVPN: 0 ||
Username: rmandava | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.129 | Public IP: 73.198.47.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 18:31:17 GMT Mon Jun 22 2020 | Duration: 1d 14h:03m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1319096831 | Bytes Rx: 795458660 | IP Addr: 10.144.233.129 | Public IP: 73.198.47.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 18:31:17 GMT Mon Jun 22 2020 | Duration: 1d 14h:03m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1319096831 | Bytes Rx: 795458660 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72246 | Audit Session ID: 0a90076b11a360005ef0f8f5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72246 | Audit Session ID: 0a90076b11a360005ef0f8f5 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgelly | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.59 | Public IP: 73.229.46.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 20:50:40 GMT Mon Jun 22 2020 | Duration: 1d 11h:44m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 2301145942 | Bytes Rx: 260778297 | IP Addr: 10.144.232.59 | Public IP: 73.229.46.67 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 20:50:40 GMT Mon Jun 22 2020 | Duration: 1d 11h:44m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 2301145942 | Bytes Rx: 260778297 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72262 | Audit Session ID: 0a90076b11a460005ef119a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72262 | Audit Session ID: 0a90076b11a460005ef119a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: kthiruma | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.25 | Public IP: 71.168.146.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 03:14:44 GMT Tue Jun 23 2020 | Duration: 1d 5h:20m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2375687329 | Bytes Rx: 448639413 | IP Addr: 10.144.232.25 | Public IP: 71.168.146.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 03:14:44 GMT Tue Jun 23 2020 | Duration: 1d 5h:20m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 2375687329 | Bytes Rx: 448639413 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72312 | Audit Session ID: 0a90076b11a780005ef173a4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72312 | Audit Session ID: 0a90076b11a780005ef173a4 | Security Group Tag: none | EasyVPN: 0 ||
Username: kyip | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.116 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:30:13 GMT Tue Jun 23 2020 | Duration: 1d 2h:04m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 341734348 | Bytes Rx: 110127425 | IP Addr: 10.144.232.116 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:30:13 GMT Tue Jun 23 2020 | Duration: 1d 2h:04m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 341734348 | Bytes Rx: 110127425 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72387 | Audit Session ID: 0a90076b11ac30005ef1a175 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72387 | Audit Session ID: 0a90076b11ac30005ef1a175 | Security Group Tag: none | EasyVPN: 0 ||
Username: SGustran | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.230 | Public IP: 195.219.99.1 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 07:22:12 GMT Tue Jun 23 2020 | Duration: 1d 1h:12m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 408770429 | Bytes Rx: 163888516 | IP Addr: 10.144.230.230 | Public IP: 195.219.99.1 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 07:22:12 GMT Tue Jun 23 2020 | Duration: 1d 1h:12m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 408770429 | Bytes Rx: 163888516 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72402 | Audit Session ID: 0a90076b11ad20005ef1ada4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72402 | Audit Session ID: 0a90076b11ad20005ef1ada4 | Security Group Tag: none | EasyVPN: 0 ||
Username: Dgarcia | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.231 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:31:09 GMT Tue Jun 23 2020 | Duration: 1d 1h:04m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 965149890 | Bytes Rx: 403968301 | IP Addr: 10.144.230.231 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:31:09 GMT Tue Jun 23 2020 | Duration: 1d 1h:04m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 965149890 | Bytes Rx: 403968301 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72403 | Audit Session ID: 0a90076b11ad30005ef1afbd | Security Group Tag: none | EasyVPN: 0 |Session ID: 72403 | Audit Session ID: 0a90076b11ad30005ef1afbd | Security Group Tag: none | EasyVPN: 0 ||
Username: kkomuro | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.225 | Public IP: 180.87.49.36 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:39:11 GMT Tue Jun 23 2020 | Duration: 23h:55m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 135559675 | Bytes Rx: 56308405 | IP Addr: 10.144.230.225 | Public IP: 180.87.49.36 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 08:39:11 GMT Tue Jun 23 2020 | Duration: 23h:55m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 135559675 | Bytes Rx: 56308405 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72419 | Audit Session ID: 0a90076b11ae30005ef1bfaf | Security Group Tag: none | EasyVPN: 0 |Session ID: 72419 | Audit Session ID: 0a90076b11ae30005ef1bfaf | Security Group Tag: none | EasyVPN: 0 ||
Username: rkommine | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.128 | Public IP: 47.16.179.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:05:51 GMT Tue Jun 23 2020 | Duration: 21h:29m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1294191530 | Bytes Rx: 532308604 | IP Addr: 10.144.232.128 | Public IP: 47.16.179.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:05:51 GMT Tue Jun 23 2020 | Duration: 21h:29m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1294191530 | Bytes Rx: 532308604 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72464 | Audit Session ID: 0a90076b11b100005ef1e20f | Security Group Tag: none | EasyVPN: 0 |Session ID: 72464 | Audit Session ID: 0a90076b11b100005ef1e20f | Security Group Tag: none | EasyVPN: 0 ||
Username: jgold | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.87 | Public IP: 104.139.104.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:55:18 GMT Tue Jun 23 2020 | Duration: 20h:39m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1155986365 | Bytes Rx: 814077221 | IP Addr: 10.144.233.87 | Public IP: 104.139.104.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:55:18 GMT Tue Jun 23 2020 | Duration: 20h:39m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1155986365 | Bytes Rx: 814077221 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72491 | Audit Session ID: 0a90076b11b2b0005ef1eda6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72491 | Audit Session ID: 0a90076b11b2b0005ef1eda6 | Security Group Tag: none | EasyVPN: 0 ||
Username: j.ciprich | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.88 | Public IP: 100.8.141.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:56:35 GMT Tue Jun 23 2020 | Duration: 20h:38m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1199529638 | Bytes Rx: 178580810 | IP Addr: 10.144.233.88 | Public IP: 100.8.141.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:56:35 GMT Tue Jun 23 2020 | Duration: 20h:38m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1199529638 | Bytes Rx: 178580810 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72492 | Audit Session ID: 0a90076b11b2c0005ef1edf3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72492 | Audit Session ID: 0a90076b11b2c0005ef1edf3 | Security Group Tag: none | EasyVPN: 0 ||
Username: k.fay | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.92 | Public IP: 67.80.84.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:08:35 GMT Tue Jun 23 2020 | Duration: 20h:26m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1361996464 | Bytes Rx: 225339709 | IP Addr: 10.144.232.92 | Public IP: 67.80.84.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:08:35 GMT Tue Jun 23 2020 | Duration: 20h:26m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1361996464 | Bytes Rx: 225339709 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72498 | Audit Session ID: 0a90076b11b320005ef1f0c3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 72498 | Audit Session ID: 0a90076b11b320005ef1f0c3 | Security Group Tag: none | EasyVPN: 0 ||
Username: pdailey | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.141 | Public IP: 96.242.125.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:24:10 GMT Tue Jun 23 2020 | Duration: 20h:11m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1489444227 | Bytes Rx: 462453902 | IP Addr: 10.144.232.141 | Public IP: 96.242.125.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:24:10 GMT Tue Jun 23 2020 | Duration: 20h:11m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1489444227 | Bytes Rx: 462453902 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72506 | Audit Session ID: 0a90076b11b3a0005ef1f46a | Security Group Tag: none | EasyVPN: 0 |Session ID: 72506 | Audit Session ID: 0a90076b11b3a0005ef1f46a | Security Group Tag: none | EasyVPN: 0 ||
Username: kvanand | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.61 | Public IP: 73.112.68.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:29:14 GMT Tue Jun 23 2020 | Duration: 20h:05m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 858927172 | Bytes Rx: 809026926 | IP Addr: 10.144.232.61 | Public IP: 73.112.68.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:29:14 GMT Tue Jun 23 2020 | Duration: 20h:05m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 858927172 | Bytes Rx: 809026926 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 72508 | Audit Session ID: 0a90076b11b3c0005ef1f59a | Security Group Tag: none | EasyVPN: 0 |Session ID: 72508 | Audit Session ID: 0a90076b11b3c0005ef1f59a | Security Group Tag: none | EasyVPN: 0 ||
